Name,Year,Location,Coordinates
"El escándalo","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"El tren expresso","1920","Mexico","(23.6585116,-102.0077097)"
"El zarco","1920","Yautepec, Morelos, Mexico","(18.8652904,-99.0618808)"
"Empty Arms","1920","(studio)","(52.2326368,21.0067376)"
"Entierro de las víctimas del cuartel del Carmen","1920","Zaragoza, Aragón, Spain","(41.6521342,-0.8809428)"
"Entrada triunfal del general Álvaro Obregón","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Erde","1920","Zillertal, Tirol, Austria","(47.2914156,11.8743182)"
"Erotikon","1920","Royal Opera, Stockholm, Sweden","(59.3296435,18.0699588)"
"Erotikon","1920","Natural History Museum, Frescati, Stockholm, Sweden","(59.36667,18.05)"
"Erotikon","1920","Carl Eldh's sculpture studio, Stockholm, Sweden","(59.33258,18.0649)"
"Erotikon","1920","Nybrokajen at Strand Hotel, Stockholm, Sweden","(59.33258,18.0649)"
"Erotikon","1920","Hovslagargatan, Blasieholmen, Norrmalm, Stockholm, Stockholms län, Sweden","(59.33424,18.05998)"
"Erotikon","1920","Stockholm, Stockholms län, Sweden","(59.3251172,18.0710935)"
"Excuse My Dust","1920","Los Angeles, California, USA","(34.0536909,-118.242766)"
"Excuse My Dust","1920","Pacific Coast Highway, California, USA","(33.8047349,-118.0635173)"
"Excuse My Dust","1920","San Francisco, California, USA","(37.7790262,-122.419906)"
"Fickle Fancy","1920","(studio)","(52.2326368,21.0067376)"
"For the Soul of Rafael","1920","California, USA","(36.7014631,-118.755997)"
"For the Soul of Rafael","1920","San Juan Capistrano, California, USA","(33.5016932,-117.6625509)"
"Frontier Days","1920","Tarrant County, Texas, USA","(32.7513658,-97.335696)"
"Fumée noire","1920","Studios Joinville, Joinville-le-pont, Val-de-Marne, France","(48.819292,2.4712295)"
"Funerales de los aviadores muertos en Zacatecas","1920","Zacatecas, Mexico","(23.0823582,-103.2085698)"
"Genovevo de la O en la ciudad de México","1920","Mexico","(23.6585116,-102.0077097)"
"Genuine","1920","(studio)","(52.2326368,21.0067376)"
"Gilly poprvé v Praze","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Gira politica del General Obregon al sur del país con escenas familiares","1920","Mexico","(23.6585116,-102.0077097)"
"Gira politica del general Obregón al sur del país","1920","Mexico","(23.6585116,-102.0077097)"
"Girl of the Sea","1920","West Indies","(12.1100405,-68.9386371)"
"Gricka vjestica","1920","Vinica kraj Varazdina, Croatia","(45.16667,15.5)"
"Gyurkovicsarna","1920","(exterior)","(3.7026181,-73.6072413)"
"Gyurkovicsarna","1920","(exterior)","(3.7026181,-73.6072413)"
"Gyurkovicsarna","1920","(exterior)","(3.7026181,-73.6072413)"
"Gyurkovicsarna","1920","(exterior)","(3.7026181,-73.6072413)"
"Gyurkovicsarna","1920","(studio)","(52.2326368,21.0067376)"
"Hasta después de la muerte","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Haunted Spooks","1920","Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA","(34.027469,-118.387467)"
"Haunted Spooks","1920","Lewis Bradbury Mansion, Los Angeles, California, USA","(35.141241,-117.958322)"
"Havenbeelden","1920","Antwerp, Flanders, Belgium","(51.2211097,4.3997081)"
"Headin' Home","1920","Polo Grounds, Manhattan, New York City, New York, USA","(40.831194,-73.9379049)"
"Hearts Are Trumps","1920","Mission San Juan Capistrano - 26801 Ortega Highway, San Juan Capistrano, California, USA","(33.501909,-117.66275)"
"Hearts Are Trumps","1920","Huntington Lake, California, USA","(37.2317408,-119.2356881)"
"Hearts Are Trumps","1920","San Rafael, California, USA","(37.9735346,-122.5310874)"
"Herr och fru Stockholm","1920","Sweden","(59.6749712,14.5208584)"
"His Jonah Day","1920","San Pedro Harbor, Long Beach, California, USA","(33.795665,-118.144334)"
"His Jonah Day","1920","Santa Catalina Island, Channel Islands, California, USA","(35.124896,-117.966819)"
"His Royal Slyness","1920","Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA","(34.027469,-118.387467)"
"His Youthful Fancy","1920","(studio)","(52.2326368,21.0067376)"
"Historia de la revolución mexicana de 1910 a 1920","1920","Mexico","(23.6585116,-102.0077097)"
"Homenaje internacional al gran poeta mexicano Amado Nervo en Veracruz","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Homenaje internacional al gran poeta mexicano Amado Nervo en Veracruz","1920","Orizaba, Veracruz, Mexico","(18.849722,-97.103611)"
"Homenaje internacional al gran poeta mexicano Amado Nervo en Veracruz","1920","Veracruz, Veracruz, Mexico","(19.1798858,-96.135648)"
"Honeymoon Ranch","1920","Big Bend National Park, Texas, USA","(29.2502011,-103.250452)"
"Honeymoon Ranch","1920","Marfa, Texas, USA","(30.3134964,-104.021716)"
"Honor militar","1920","Boca del Rio, Veracruz, Mexico","(19.113008,-96.1119502)"
"Human Stuff","1920","Santa Clarita, California, USA","(34.3916641,-118.542586)"
"Humoresque","1920","(studio)","(52.2326368,21.0067376)"
"Husbands and Wives","1920","Atlanta, Georgia, USA","(33.7489924,-84.3902644)"
"Ijzerfront 1914-1918","1920","Yser, Belgium","(50.9413257,2.6539176)"
"In Nippon","1920","Japan","(36.5748441,139.2394179)"
"In the Depths of Our Hearts","1920","Wisconsin, USA","(44.4308975,-89.6884637)"
"In the Heart of a Fool","1920","Provincetown, Massachusetts, USA","(42.0525612,-70.1858639)"
"In the Shadow of the Dome","1920","Washington, District of Columbia, USA","(38.8950368,-77.0365427)"
"Jes' Call Me Jim","1920","Redwood forests, Santa Cruz, California, USA","(36.962248,-122.037309)"
"Jindra","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Johann Baptiste Lingg","1920","Bad Hersfeld, Hessen, Germany","(50.8681341,9.7068481)"
"Jornadas agrarias","1920","Mexico","(23.6585116,-102.0077097)"
"Karin Ingmarsdotter","1920","Falun, Dalarnas län, Sweden","(60.6070068,15.6323059)"
"Karin Ingmarsdotter","1920","Mora, Dalarnas län, Sweden","(61.0082091,14.5431333)"
"Karin Ingmarsdotter","1920","Näs, Dalarnas län, Sweden","(60.1586585,15.3296161)"
"Klostret i Sendomir","1920","Djurgården, Östermalm, Stockholm, Stockholms län, Sweden","(59.3251676,18.1216057)"
"Klostret i Sendomir","1920","(studio)","(52.2326368,21.0067376)"
"Kohlhiesels Töchter","1920","Garmisch-Partenkirchen, Bavaria, Germany","(47.4923741,11.0962815)"
"Kohlhiesels Töchter","1920","UFA-Messter-Atelier, Tempelhof, Berlin, Germany","(52.46667,13.4)"
"Komediantka","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"L'hirondelle et la mésange","1920","Bruges, West Flanders, Belgium","(51.2085526,3.226772)"
"L'hirondelle et la mésange","1920","Gand. East Flanders, Belgium","(51.0538286,3.7250121)"
"L'hirondelle et la mésange","1920","Ghent, Flanders, Belgium","(51.0538286,3.7250121)"
"L'hirondelle et la mésange","1920","Historic centre, Antwerp, Flanders, Belgium","(51.21989,4.40346)"
"L'hirondelle et la mésange","1920","Mortagne du Nord, France/Belgium frontier","(46.80052,-96.83314)"
"L'hirondelle et la mésange","1920","Rivière Escaut, Belgium","(50.75,4.5)"
"L'hirondelle et la mésange","1920","Rivière Escaut, France","(50.0815332,3.2229153)"
"L'hirondelle et la mésange","1920","(street-market)","(19.0520748,-104.3105368)"
"L'homme du large","1920","Penmarc'h, Finistère, France","(47.8126044,-4.3377655)"
"L'homme du large","1920","Studios La Villette, Paris 19, Paris, France","(48.8772794,2.3715075)"
"La escuadra en el puerto","1920","Vigo, Pontevedra, Galicia, Spain","(42.2376602,-8.7247205)"
"La industria del petróleo","1920","Tampico, Tamaulipas, Mexico","(22.2329889,-97.8614802)"
"La industria del petróleo","1920","Tuxpán, Veracruz, Mexico","(20.9298337,-97.3936617)"
"La industria del petróleo","1920","Veracruz, Veracruz, Mexico","(19.1798858,-96.135648)"
"La vida de Joselito y su muerte","1920","Talavera de la Reina, Toledo, Castilla-La Mancha, Spain","(39.9603798,-4.8311717)"
"Lady Rose's Daughter","1920","(interiors at Whitman Bennett Studios)","location is undefined"
"Lady Rose's Daughter","1920","(interiors at Whitman Bennett Studios)","(39.9603798,-4.8311717)"
"Las carreras de autos y motos en la condesa","1920","Mexico","(23.6585116,-102.0077097)"
"Las suntuosas fiestas del rosario en Zapotlan el Grande","1920","Zapotlan el Grande, Jalisco, Mexico","(19.6973465,-103.510648)"
"Le Dieu du hasard","1920","Deauville, Calvados, France","(49.36,0.0752778)"
"Le Dieu du hasard","1920","Place de la Concorde, Paris 8, Paris, France","(48.8671725,2.3213459)"
"Le carnaval des vérités","1920","Studios La Villette, Paris 19, Paris, France","(48.8772794,2.3715075)"
"Legionár","1920","Karlstejn, Stredoceský, Czech Republic","(49.75,15.0)"
"Legionár","1920","Konopiste Palace, Benesov, Czech Republic","(49.78162,14.68697)"
"Legionár","1920","Konopiste, Benesov, Czech Republic","(49.7815627,14.6639046)"
"Legionár","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Life","1920","New York City, New York, USA","(40.7127281,-74.0060152)"
"Lights and Shadows in a City of a Million","1920","Detroit, Michigan, USA","(42.3315509,-83.0466403)"
"Little Dorrit","1920","Shoreham-by-Sea, West Sussex, England, UK","(50.8322307,-0.2746717)"
"Llegada a la ciudad de México del señor Adolfo de la Huerta","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Los buitres de la aldea","1920","Barcelona, Catalonia, Spain","(41.3828939,2.1774322)"
"Los enmascarados de Mazatlán","1920","Mazatlán, Sinaloa, Mexico","(23.2313053,-106.4153144)"
"Love, Honor and Behave!","1920","(studio)","(52.2326368,21.0067376)"
"Lovely Maoriland","1920","New Zealand","(-41.5000831,172.8344077)"
"Madonnas and Men","1920","(studio)","(52.2326368,21.0067376)"
"Marimba Land","1920","Guatemala","(15.6871007,-90.1226545)"
"Married Life","1920","(studio)","(52.2326368,21.0067376)"
"Married to Order","1920","Hollywood, Los Angeles, California, USA","(34.0980031,-118.329523)"
"Melchiad Koloman","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Militaire plechtigheid Schoonselhof","1920","Antwerp, Flanders, Belgium","(51.2211097,4.3997081)"
"Monika Vogelsang","1920","Rothenburg ob der Tauber, Bavaria, Germany","(49.3771899,10.1788809)"
"Mothers of Men","1920","(studio)","(52.2326368,21.0067376)"
"Movie Fans","1920","(studio)","(52.2326368,21.0067376)"
"Mr. Poincaré in Vlaanderen. Februari 1920. Overhandiging van het Franse Oorlogskruis aan de steden Ieper, Diksmuide en Nieuwpoort","1920","Diksmuide, Belgium","(51.0333408,2.8647185)"
"Mr. Poincaré in Vlaanderen. Februari 1920. Overhandiging van het Franse Oorlogskruis aan de steden Ieper, Diksmuide en Nieuwpoort","1920","Nieuwpoort, Belgium","(51.1441919,2.7281913)"
"Mr. Poincaré in Vlaanderen. Februari 1920. Overhandiging van het Franse Oorlogskruis aan de steden Ieper, Diksmuide en Nieuwpoort","1920","Ypres, Belgium","(50.8516968,2.8914737)"
"My Husband's Other Wife","1920","Majestic Theatre, Brooklyn, New York City, New York, USA","(40.7584179,-73.9880164)"
"Nachtgestalten","1920","Bioscop-Atelier, Neubabelsberg, Potsdam, Brandenburg, Germany","(52.39886,13.06566)"
"Nidelvia","1920","Mexico","(23.6585116,-102.0077097)"
"No Hope for the Drys","1920","Lake Louise, Banff National Park, Alberta, Canada","(52.28333,-117.469)"
"Noc na Karlstejne","1920","Karlstejn Castle, Karlstejn, Stredoceský, Czech Republic","(49.75,15.0)"
"Noc na Karlstejne","1920","Lednice Palace, Czech Republic","(49.75,15.0)"
"Noc na Karlstejne","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Nothing But the Truth","1920","Dunwoodie Golf Club, Yonkers, New York, USA","(40.939003,-73.8723093)"
"Number, Please?","1920","(amusement park - later known as Ocean Park Pier, then as Pacific Ocean Park)","location is undefined"
"Number, Please?","1920","(amusement park - later known as Ocean Park Pier, then as Pacific Ocean Park)","(40.939003,-73.8723093)"
"Nurse Marjorie","1920","(studio)","(52.2326368,21.0067376)"
"Nurse Marjorie","1920","(studio)","(52.2326368,21.0067376)"
"Old Lady 31","1920","Sunland Hotel, San Fernando Valley, Los Angeles, California, USA","(35.881776,-118.656086)"
"Old Lady 31","1920","Orange County Farm, near, Downey, California, USA","(33.9283514,-118.1461054)"
"Ombytta roller","1920","Skandiaateljén, Långängen, Stocksund, Sweden","(59.38333,18.06667)"
"Ommegang van Antwerpen 9 augustus 1920","1920","Antwerp, Flanders, Belgium","(51.2211097,4.3997081)"
"On Our Selection","1920","Baulkham Hills, Sydney, New South Wales, Australia","(-33.7611198,150.9914041)"
"On Our Selection","1920","Leeton, New South Wales, Australia","(-34.5483333,146.4011111)"
"On with the Dance","1920","Paramount Studios, Astoria, Queens, New York City, New York, USA","(40.707507,-74.011254)"
"One Week","1920","Congregational Sunday School, Los Angeles, California, USA","(35.124896,-117.966819)"
"One Week","1920","(final scene)","(49.0393167,2.0411447)"
"One Week","1920","Los Angeles, California, USA","(34.0536909,-118.242766)"
"Ottauquechee Valley","1920","Ottauquechee Valley, Vermont, USA","(43.6190348,-72.3977119)"
"Outside the Law","1920","Chinatown, San Francisco, California, USA","(37.7943011,-122.4063757)"
"Outside the Law","1920","Nob Hill, San Francisco, California, USA","(37.7932622,-122.415249)"
"Over the Hill to the Poorhouse","1920","Fort Lee, New Jersey, USA","(40.8509333,-73.9701382)"
"Overland Red","1920","Mojave Desert, California, USA","(35.0065729,-117.6913699)"
"Partida ganada","1920","Mexico","(23.6585116,-102.0077097)"
"Paseo en tranvia en la ciudad de México","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Pigs and Kava","1920","Samoa","(-13.7693895,-172.12005)"
"Pillars of Society","1920","Grimstad, Norway","(58.2839967,8.7128291)"
"Pollyanna","1920","Alabama Hills, Lone Pine, California, USA","(36.6013301,-118.0834804)"
"Pollyanna","1920","South Pasadena, California, USA","(34.1133062,-118.1478291)"
"Port aux Basques","1920","Port aux Basques, Newfoundland, Newfoundland and Labrador, Canada","(47.5776635,-59.1424188)"
"Presentación de Gaona","1920","Mexico","(23.6585116,-102.0077097)"
"Procesión del Corpus en Vigo","1920","Vigo, Pontevedra, Galicia, Spain","(42.2376602,-8.7247205)"
"Prästänkan","1920","Lillehammer, Norway","(61.1333408,10.4265855)"
"Putschliesel","1920","Spreewald, Brandenburg, Germany","(52.0286713,13.8905462)"
"Quaint Kuala Lumpur","1920","Kuala Lumpur, Malaysia","(3.1516964,101.6942371)"
"Regatas en el Río Luján","1920","Argentina","(-34.9964963,-64.9672817)"
"Reglamento de maniobras de infanteria","1920","Mexico","(23.6585116,-102.0077097)"
"Remodeling Her Husband","1920","New Rochelle, New York, USA","(40.9115386,-73.7826363)"
"Remodeling Her Husband","1920","(interiors) (studio)","(41.312018,69.291445)"
"Rendición de Villa en Sabinas","1920","Sabinas, Coahuíla, Mexico","(27.942464,-101.0727813)"
"Reproducción de micelas de nitrato de plata por la acción de la luz","1920","Zaragoza, Aragón, Spain","(41.6521342,-0.8809428)"
"Revista México","1920","Mexico City, Distrito Federal, Mexico","(19.2667063,-99.1269596)"
"Rogues and Romance","1920","Algeciras, Cádiz, Andalucía, Spain","(36.1311725,-5.4473991)"
"Rogues and Romance","1920","Ponta Delgada, S. Miguel, Azores, Portugal","(37.7377681,-25.6631405)"
"Romance","1920","(studio)","(52.2326368,21.0067376)"
"Run 'Em Ragged","1920","(Canoes in lake)","(32.5642334,-95.5847361)"
"Sand","1920","Victorville, California, USA","(34.5361067,-117.2911565)"
"Satanas","1920","Bioscop-Atelier, Neubabelsberg, Potsdam, Brandenburg, Germany","(52.39886,13.06566)"
"Scratch My Back","1920","(studio)","(52.2326368,21.0067376)"
"Servicio postal en la ciudad de México","1920","Mexico","(23.6585116,-102.0077097)"
"Shipwrecked Among Cannibals","1920","Frederick Henry Island, Indonesia","(39.1594827,-78.3936643)"
"Shipwrecked Among Cannibals","1920","Java, Indonesia","(-7.3279694,109.613911)"
"Shipwrecked Among Cannibals","1920","New Guinea","(-5.522593,142.0870905)"
"Shipwrecked Among Cannibals","1920","Thailand","(14.8971921,100.83273)"
"Shore Acres","1920","near, Laguna, California, USA","(36.7940615,-119.8421499)"
"Sinners","1920","Nantucket, Massachusetts, USA","(41.3157314,-70.0090141)"
"Sky-Eye","1920","(as Ellington Aviation Field)","location is undefined"
"Sky-Eye","1920","(as Ellington Aviation Field)","(41.3157314,-70.0090141)"
"Smiling All the Way","1920","(studio)","(52.2326368,21.0067376)"
"Snezenky","1920","Benecko, Czech Republic","(50.6663343,15.5481647)"
"Some More Samoa","1920","Samoa","(-13.7693895,-172.12005)"
"Some Speed to Surago","1920","Japan","(36.5748441,139.2394179)"
"Something New","1920","Anza-Borrego Desert State Park - 200 Palm Canyon Drive, Borrego Springs, California, USA","(33.256484,-116.399423)"
"Something New","1920","Mojave Desert, California, USA","(35.0065729,-117.6913699)"
"Something to Think About","1920","Lake Arrowhead, San Bernardino National Forest, California, USA","(34.2585615,-117.183004)"
"Stavitel chrámu","1920","Prague, Czech Republic","(50.0596288,14.4464593)"
"Steamboat Holidays on the Murray River","1920","Murray River, South Australia, Australia","(-35.0547542,143.3323963)"
"Steamboat Holidays on the Murray River","1920","Murray River, Victoria, Australia","(-36.0230414,146.2801679)"
"Steamboat Holidays on the Murray River","1920","Wentworth, New South Wales, Australia","(-34.1077255,141.919296)"
"Steamboat Holidays on the Murray River","1920","Mount Lofty, South Australia, Australia","(-34.974147,138.7090436)"
